年月日時,海面気圧(hPa),相対湿度(％),気温(℃),降水量(mm),天気,蒸気圧(hPa),風速(m/s),風向
2020/10/1 00:00:00,1009.1,87,20.0,0.5,10,20.3,2.9,西北西
2020/10/1 1:00:00,1009.4,87,19.0,5.0,10,19.1,1.2,北北西
2020/10/1 2:00:00,1008.8,92,18.4,3.0,10,19.5,1.8,北西
2020/10/1 3:00:00,1008.9,90,18.2,0.5,10,18.8,2.6,西北西
2020/10/1 4:00:00,1009.0,89,18.2,0.0,4,18.6,1.5,北北西
2020/10/1 5:00:00,1009.7,89,17.6,0,2,17.9,1.4,北西
2020/10/1 6:00:00,1010.3,91,17.4,0,2,18.1,1.1,西北西
2020/10/1 7:00:00,1011.0,86,17.9,0,2,17.6,1.1,北
2020/10/1 8:00:00,1011.3,78,19.8,0,2,18.0,1.2,北西
2020/10/1 9:00:00,1011.6,69,21.6,0,2,17.8,0.8,南
2020/10/1 10:00:00,1011.3,56,24.0,0,2,16.7,2.9,北北東
2020/10/1 11:00:00,1011.3,47,24.8,0,2,14.7,4.1,北北西
2020/10/1 12:00:00,1011.0,46,25.5,0,2,15.0,4.2,北北西
2020/10/1 13:00:00,1010.8,42,26.2,0,2,14.3,4.0,北西
2020/10/1 14:00:00,1010.6,42,26.2,0,2,14.3,3.7,北西
2020/10/1 15:00:00,1011.0,37,26.3,0,2,12.7,5.4,北北西
2020/10/1 16:00:00,1011.3,42,25.1,0,2,13.4,5.2,北北西
2020/10/1 17:00:00,1011.9,47,23.9,0,2,13.9,4.5,北
2020/10/1 18:00:00,1012.4,55,22.5,0,2,15.0,3.2,北北西
2020/10/1 19:00:00,1013.0,63,21.5,0,2,16.2,1.6,北北西
2020/10/1 20:00:00,1013.7,64,21.1,0,2,16.0,2.0,北北東
2020/10/1 21:00:00,1014.1,69,20.6,0,2,16.7,0.1,静穏
2020/10/1 22:00:00,1014.3,72,19.9,0,2,16.7,1.5,北西
2020/10/1 23:00:00,1014.5,74,19.1,0,2,16.4,1.5,東北東
2020/10/2 00:00:00,1014.8,77,18.6,0,2,16.5,1.7,西北西
2020/10/2 1:00:00,1015.0,79,18.1,0,2,16.4,1.0,北
2020/10/2 2:00:00,1015.2,81,17.6,0,2,16.3,1.3,北
2020/10/2 3:00:00,1014.9,82,17.2,0,2,16.1,1.4,北北西
2020/10/2 4:00:00,1015.3,83,16.8,0,2,15.9,1.4,北東
2020/10/2 5:00:00,1016.3,85,16.4,0,2,15.9,1.4,北北西
2020/10/2 6:00:00,1016.3,84,16.2,0,2,15.5,1.5,北東
2020/10/2 7:00:00,1016.9,80,17.0,0,2,15.5,0.4,北北西
2020/10/2 8:00:00,1017.4,72,18.6,0,2,15.4,0.9,北東
2020/10/2 9:00:00,1017.4,66,20.8,0,2,16.2,0.6,北北東
2020/10/2 10:00:00,1017.1,61,23.0,0,2,17.1,1.5,西北西
2020/10/2 11:00:00,1017.0,52,24.7,0,2,16.2,0.9,西南西
2020/10/2 12:00:00,1016.2,41,26.1,0,2,13.9,2.2,西南西
2020/10/2 13:00:00,1015.6,38,27.5,0,2,14.0,2.4,南南西
2020/10/2 14:00:00,1014.8,34,27.6,0,2,12.6,2.0,南南西
2020/10/2 15:00:00,1013.8,36,27.9,0,2,13.5,1.3,西
2020/10/2 16:00:00,1014.3,31,27.5,0,2,11.4,2.0,南西
2020/10/2 17:00:00,1014.5,38,26.7,0,2,13.3,2.0,西南西
2020/10/2 18:00:00,1015.1,49,24.8,0,2,15.3,1.9,西
2020/10/2 19:00:00,1015.8,55,22.9,0,2,15.4,2.8,北北東
2020/10/2 20:00:00,1016.5,60,21.8,0,2,15.7,1.4,北東
2020/10/2 21:00:00,1017.0,61,21.3,0,2,15.5,2.0,北東
2020/10/2 22:00:00,1017.3,67,20.4,0,2,16.1,0.5,北北西
2020/10/2 23:00:00,1017.7,69,20.0,0,2,16.1,1.3,北東
2020/10/3 00:00:00,1017.4,73,19.4,0,2,16.4,1.0,北東
2020/10/3 1:00:00,1017.4,73,19.3,0,2,16.3,1.0,北
2020/10/3 2:00:00,1017.0,76,19.1,0,2,16.8,1.5,北北東
2020/10/3 3:00:00,1017.0,78,18.5,0,4,16.6,0.7,北西
2020/10/3 4:00:00,1017.3,79,18.6,0,2,16.9,1.8,北東
2020/10/3 5:00:00,1017.5,83,18.0,0,4,17.1,1.1,北北東
2020/10/3 6:00:00,1017.5,79,18.7,0,4,17.0,0.8,北
2020/10/3 7:00:00,1018.0,79,18.9,0,4,17.3,0.7,西
2020/10/3 8:00:00,1017.8,71,20.6,0,4,17.2,1.1,北西
2020/10/3 9:00:00,1018.3,68,22.4,0,4,18.4,1.3,西南西
2020/10/3 10:00:00,1017.9,63,24.0,0,2,18.8,0.9,東南東
2020/10/3 11:00:00,1017.0,61,24.6,0,4,18.9,0.7,北北東
2020/10/3 12:00:00,1016.2,56,25.6,0,4,18.4,0.7,西
2020/10/3 13:00:00,1015.2,56,25.1,0,4,17.9,1.2,西南西
2020/10/3 14:00:00,1014.9,56,25.2,0,4,18.0,1.3,北西
2020/10/3 15:00:00,1014.2,59,25.7,0,4,19.5,2.2,北東
2020/10/3 16:00:00,1014.2,59,25.3,0,4,19.0,2.3,東北東
2020/10/3 17:00:00,1014.2,65,24.8,0.0,4,20.4,1.6,北東
2020/10/3 18:00:00,1014.5,69,24.2,0,4,20.8,1.3,東北東
2020/10/3 19:00:00,1015.1,71,23.6,0,4,20.7,2.4,北北東
2020/10/3 20:00:00,1015.7,71,23.4,0,4,20.4,1.5,北
2020/10/3 21:00:00,1016.2,72,23.1,0,2,20.4,1.3,北
2020/10/3 22:00:00,1015.9,74,22.6,0,4,20.3,1.4,北北東
2020/10/3 23:00:00,1015.6,75,22.4,0,4,20.3,0.2,静穏
2020/10/4 00:00:00,1015.0,78,21.9,0,4,20.5,0.7,北西
2020/10/4 1:00:00,1014.8,77,21.9,0,4,20.2,1.2,北東
2020/10/4 2:00:00,1014.8,79,21.4,0,4,20.1,1.2,北東
2020/10/4 3:00:00,1014.2,82,21.2,0,4,20.6,1.6,北北東
2020/10/4 4:00:00,1014.0,81,21.1,0,4,20.3,0.8,北
2020/10/4 5:00:00,1014.1,83,21.0,0,4,20.6,0.7,北西
2020/10/4 6:00:00,1013.9,82,21.0,0,4,20.4,1.0,北北東
2020/10/4 7:00:00,1014.6,81,21.3,0,4,20.5,0.3,東
2020/10/4 8:00:00,1014.6,79,21.7,0,4,20.5,0.1,静穏
2020/10/4 9:00:00,1013.9,74,22.8,0,4,20.5,1.1,東
2020/10/4 10:00:00,1013.3,70,23.5,0.0,10,20.3,0.2,静穏
2020/10/4 11:00:00,1013.0,68,24.4,0,4,20.8,1.2,西南西
2020/10/4 12:00:00,1011.9,66,24.7,0,4,20.5,1.7,南
2020/10/4 13:00:00,1011.1,65,25.1,0,4,20.7,1.2,西南西
2020/10/4 14:00:00,1009.7,66,24.9,0,4,20.8,0.7,西
2020/10/4 15:00:00,1009.4,60,26.0,0,4,20.2,1.0,南東
2020/10/4 16:00:00,1009.7,65,25.3,0,4,21.0,1.8,北西
2020/10/4 17:00:00,1010.0,66,25.2,0,4,21.2,0.9,北北東
2020/10/4 18:00:00,1009.6,72,24.4,0,4,22.0,2.1,東北東
2020/10/4 19:00:00,1009.8,76,23.8,0,4,22.4,2.2,北北東
2020/10/4 20:00:00,1009.7,77,23.4,0,4,22.2,1.0,北東
2020/10/4 21:00:00,1010.0,78,23.0,0,4,21.9,0.7,北北東
2020/10/4 22:00:00,1010.1,78,22.8,0.0,4,21.7,1.3,北東
2020/10/4 23:00:00,1010.2,78,22.6,0.0,10,21.4,1.7,北北東
2020/10/5 00:00:00,1010.0,80,22.4,0.0,10,21.7,1.0,北北東
2020/10/5 1:00:00,1009.5,82,22.1,0.0,,21.8,0.9,北東
2020/10/5 2:00:00,1009.3,82,21.8,0.0,,21.4,1.0,北北東
2020/10/5 3:00:00,1009.1,83,22.0,0.0,,21.9,0.7,北西
2020/10/5 4:00:00,1008.9,83,21.9,0.0,,21.8,0.9,北東
2020/10/5 5:00:00,1009.0,84,21.9,0,,22.1,0.5,北北東
2020/10/5 6:00:00,1008.9,84,22.1,0,,22.3,0.6,南南西
2020/10/5 7:00:00,1009.0,85,21.9,0,,22.3,0.5,北
2020/10/5 8:00:00,1009.0,84,22.3,0,,22.6,0.8,東
2020/10/5 9:00:00,1009.9,71,22.6,0.0,,19.5,3.3,北西
2020/10/5 10:00:00,1010.1,63,23.4,0,,18.1,3.5,北西
2020/10/5 11:00:00,1009.9,62,23.2,0,,17.6,3.5,北北西
2020/10/5 12:00:00,1010.3,63,22.8,0,,17.5,5.1,北北西
2020/10/5 13:00:00,1010.1,59,23.1,0,,16.7,4.9,北北西
2020/10/5 14:00:00,1009.9,53,23.6,0,,15.4,6.3,北北西
2020/10/5 15:00:00,1010.1,51,23.3,0,,14.6,3.3,北西
2020/10/5 16:00:00,1010.6,48,22.7,0,,13.2,3.0,北北西
2020/10/5 17:00:00,1011.5,48,21.5,0,,12.3,3.6,北西
2020/10/5 18:00:00,1012.2,45,19.8,0,,10.4,2.0,北西
2020/10/5 19:00:00,1013.3,50,18.8,0,,10.9,3.3,北北西
2020/10/5 20:00:00,1014.1,55,18.0,0,,11.4,1.8,北北西
2020/10/5 21:00:00,1014.6,58,17.7,0,,11.7,1.5,北西
2020/10/5 22:00:00,1014.6,58,17.7,0,,11.7,1.2,北西
2020/10/5 23:00:00,1015.0,59,17.3,0,,11.7,0.8,西北西
2020/10/6 00:00:00,1015.1,59,17.0,0,,11.4,1.3,北北西
2020/10/6 1:00:00,1015.4,60,16.8,0,2,11.5,1.3,東北東
2020/10/6 2:00:00,1015.2,61,16.5,0,2,11.5,1.4,北北西
2020/10/6 3:00:00,1015.6,67,15.5,0,2,11.8,0.9,北
2020/10/6 4:00:00,1015.9,71,15.3,0,4,12.3,0.9,北北東
2020/10/6 5:00:00,1016.1,70,15.4,0,4,12.2,0.7,北北西
2020/10/6 6:00:00,1016.4,72,15.2,0,4,12.4,1.0,北北東
2020/10/6 7:00:00,1016.9,70,15.7,0,4,12.5,1.3,北北東
2020/10/6 8:00:00,1017.3,67,16.2,0,4,12.3,0.7,北東
2020/10/6 9:00:00,1017.6,64,17.2,0,4,12.6,0.5,北
2020/10/6 10:00:00,1017.6,61,18.2,0,4,12.8,1.4,東北東
2020/10/6 11:00:00,1017.4,56,19.8,0,4,12.9,0.3,南南東
2020/10/6 12:00:00,1017.0,51,21.5,0,4,13.1,1.9,北北東
2020/10/6 13:00:00,1016.3,43,22.3,0,2,11.6,3.4,北
2020/10/6 14:00:00,1015.9,38,23.2,0,2,10.8,4.4,北西
2020/10/6 15:00:00,1016.6,38,23.9,0,2,11.3,3.3,北北西
2020/10/6 16:00:00,1017.0,44,22.4,0,2,11.9,4.7,北北東
2020/10/6 17:00:00,1017.4,48,20.8,0,2,11.8,3.9,北北西
2020/10/6 18:00:00,1018.4,51,19.8,0,2,11.8,3.0,北北西
2020/10/6 19:00:00,1018.9,54,19.1,0,2,11.9,1.2,北西
2020/10/6 20:00:00,1019.7,60,17.9,0,2,12.3,1.9,西北西
2020/10/6 21:00:00,1020.1,63,17.4,0,2,12.5,1.1,北北西
2020/10/6 22:00:00,1020.8,66,17.1,0,2,12.9,0.7,北
2020/10/6 23:00:00,1020.9,70,16.3,0,2,13.0,1.0,北西
2020/10/7 00:00:00,1021.2,71,16.1,0,2,13.0,1.1,西北西
2020/10/7 1:00:00,1021.4,72,15.9,0,2,13.0,1.5,北北西
2020/10/7 2:00:00,1021.3,77,15.1,0,2,13.2,0.7,北北東
2020/10/7 3:00:00,1021.4,78,14.9,0,2,13.2,0.7,南東
2020/10/7 4:00:00,1021.6,78,14.7,0,2,13.0,0.3,北東
2020/10/7 5:00:00,1022.1,77,14.4,0,2,12.6,1.1,北
2020/10/7 6:00:00,1022.4,77,14.3,0,2,12.6,1.2,東
2020/10/7 7:00:00,1022.7,74,15.1,0,4,12.7,0.4,西
2020/10/7 8:00:00,1023.2,67,17.1,0,4,13.1,0.4,北北東
2020/10/7 9:00:00,1023.1,56,19.3,0,2,12.5,0.8,北東
2020/10/7 10:00:00,1022.8,50,21.9,0,4,13.1,1.1,西
2020/10/7 11:00:00,1022.2,43,22.9,0,2,12.0,1.4,北北東
2020/10/7 12:00:00,1021.5,41,23.9,0,2,12.2,1.6,東北東
2020/10/7 13:00:00,1020.8,43,24.1,0,4,12.9,2.2,南東
2020/10/7 14:00:00,1020.5,44,23.1,0.0,10,12.4,3.3,北
2020/10/7 15:00:00,1021.4,46,22.6,0.0,10,12.6,4.1,北
2020/10/7 16:00:00,1021.5,51,21.8,0.0,10,13.3,4.5,北
2020/10/7 17:00:00,1021.8,54,20.8,0.0,4,13.3,3.3,北
2020/10/7 18:00:00,1022.3,59,20.4,0.0,10,14.1,2.7,北
2020/10/7 19:00:00,1022.8,65,19.9,0.0,10,15.1,2.5,北東
2020/10/7 20:00:00,1022.9,72,19.4,0.0,10,16.2,1.8,北北東
2020/10/7 21:00:00,1022.9,74,18.6,0.0,10,15.9,0.6,西南西
2020/10/7 22:00:00,1023.2,79,18.5,0.0,10,16.8,1.5,北西
2020/10/7 23:00:00,1023.1,85,17.6,0.5,10,17.1,1.5,北東
2020/10/8 00:00:00,1023.4,88,17.1,3.0,10,17.2,0.8,東北東
2020/10/8 1:00:00,1023.3,91,16.7,3.0,10,17.3,0.7,東北東
2020/10/8 2:00:00,1023.5,95,16.8,2.0,10,18.2,1.6,北西
2020/10/8 3:00:00,1023.0,90,16.3,1.5,10,16.7,3.0,東北東
2020/10/8 4:00:00,1023.2,87,16.3,0.5,10,16.1,1.9,北
2020/10/8 5:00:00,1023.7,91,16.0,2.5,10,16.5,1.0,北北西
2020/10/8 6:00:00,1023.8,91,15.8,2.0,10,16.3,0.1,静穏
2020/10/8 7:00:00,1024.0,93,15.8,1.5,10,16.7,0.7,北
2020/10/8 8:00:00,1024.6,89,16.3,0.5,10,16.5,1.5,北西
2020/10/8 9:00:00,1024.4,87,16.7,0.5,10,16.5,2.2,北北東
2020/10/8 10:00:00,1024.9,87,16.6,1.5,10,16.4,2.2,北北東
2020/10/8 11:00:00,1024.4,85,16.6,1.5,10,16.1,1.5,北
2020/10/8 12:00:00,1024.5,88,16.6,3.0,10,16.6,0.6,北東
2020/10/8 13:00:00,1023.1,94,16.6,3.0,10,17.8,0.9,南南西
2020/10/8 14:00:00,1023.0,94,16.7,3.5,10,17.9,1.1,北西
2020/10/8 15:00:00,1022.7,90,16.7,2.0,10,17.1,1.9,北北西
2020/10/8 16:00:00,1021.4,90,16.7,2.0,10,17.1,2.2,北東
2020/10/8 17:00:00,1021.9,91,16.4,1.0,10,17.0,0.5,南南東
2020/10/8 18:00:00,1022.4,92,16.4,1.0,10,17.2,2.2,北西
2020/10/8 19:00:00,1022.2,90,15.9,1.0,10,16.3,1.7,北東
2020/10/8 20:00:00,1022.3,91,16.1,0.5,10,16.7,1.5,東北東
2020/10/8 21:00:00,1022.0,91,16.1,0.5,10,16.7,2.1,北
2020/10/8 22:00:00,1021.2,90,16.2,0.0,10,16.6,1.5,北
2020/10/8 23:00:00,1020.6,87,16.6,0.0,10,16.4,1.4,北東
2020/10/9 00:00:00,1020.5,87,16.8,0.0,4,16.6,1.2,北北東